실제 최종 계약 체결일,계약 명,계약 형태,최초 계약 금액,최초 계약 기간(추정),현재 계약 금액,현재 계약 기간,모집 금액
2026.3.11,학원ERP 기능 고도화 개발(오군영),삼자 위임 양면 계약,2500000,30,2500000,31,2500000
2026.3.12,"PG 가맹점 사장님용 모바일 웹 디자인, 퍼블리싱 및 앱개발",삼자 양면 계약,10700000,75,10700000,66,6000000
2026.3.11,"보험 약관/상품 정보(PDF, 이미지) 기반 AI 상담 챗봇 구축",삼자 양면 계약,25700000,80,25700000,81,30000000
2026.3.10,홈페이지 제작 웹 퍼블리싱 및 디자인(박세익),삼자 위임 양면 계약,3500000,30,4000000,31,4000000
2026.3.10,QR 기반 시간외근무 기록 시스템 개발,삼자 양면 계약,750000,16,750000,17,1000000
2026.3.10,예술 작품 전시 및 판매를 위한 인터랙티브 웹사이트 구축,삼자 양면 계약,2500000,66,2500000,67,4000000
2026.3.10,nRF52 기반 지능형 노지 스마트팜 통합 관제 펌웨어 개발(홍광선),삼자 위임 양면 계약,9000000,60,9000000,61,5000000
2026.3.9,C# 서버 및 유니티 간 소켓 통신 끊김 현상 디버깅,삼자 양면 계약,1000000,6,1000000,7,1000000
2026.3.10,Storeganise API 연동 백엔드 서버 개발,삼자 양면 계약,6000000,34,6000000,35,6000000
2026.3.9,지역 기반 콘텐츠 공유 커뮤니티 플랫폼 구축,삼자 양면 계약,18000000,159,18000000,160,50000000
2026.3.9,풀스택 Laravel 개발 PL(이남엽),삼자 위임 양면 계약,4800000,31,4800000,31,6000000
2026.3.9,Cafe24 기반 자사몰 SEO 최적화 및 디자인 리뉴얼,삼자 양면 계약,7000000,56,7000000,57,8000000
2026.3.10,AI 문법 생성 엔진 연동형 학습 LMS 및 로그 데이터 파이프라인 구축(SaaS),삼자 양면 계약,15200000,27,15200000,28,50000000
2026.3.9,광고 매체 통합(API) 및 웹 로그 분석 SaaS 기능 고도화 개발,삼자 양면 계약,6000000,56,6000000,57,15000000
2026.3.9,도매매 API 연동 쇼핑몰 상품 동기화 및 통합 관리 프로그램 개발,삼자 양면 계약,38000000,105,38000000,106,29000000
2026.3.10,레스토랑 브랜드 다국어 홈페이지 제작,삼자 양면 계약,20000000,65,20000000,66,20000000
2026.3.5,게임 사이트 메인 UI/UX 디자인 및 상세페이지 디자인,삼자 양면 계약,7000000,66,7000000,67,4000000
2026.3.6,"기업 및 이용자간의 콘텐즈의 거래, 라이선스,유통을 지원하는 온라인 플랫폼",삼자 양면 계약,22500000,86,22500000,87,30000000
2026.3.6,Xconda AI 플랫폼 기능 개선 및 고도화,삼자 양면 계약,6000000,34,6000000,35,6000000
2026.3.5,앱 설치 유도 딥링크 적용 개발,삼자 양면 계약,500000,3,500000,4,500000
2026.3.6,현장 서비스 리포트 및 안전 서류 관리 시스템 개발,삼자 양면 계약,27000000,102,27000000,103,30000000
2026.3.5,사립 유치원 전용 회계 기장 및 에듀파인 자동 전송 시스템 구축,삼자 양면 계약,9000000,97,9000000,98,25000000
2026.3.4,홈페이지 신규 턴키 구축,삼자 양면 계약,3000000,49,3000000,50,2500000
2026.3.9,고도몰 기반 커뮤니티형 커머스 모바일 웹 및 앱 구축,삼자 양면 계약,23000000,101,23000000,118,20000000
2026.3.4,AD카드 통신 모듈 펌웨어 수정 및 PLC 데이터 연동(Modbus RTU),삼자 양면 계약,2400000,16,2400000,17,독립 계약
2026.3.5,홈페이지 프로젝트 기획(김미경),삼자 위임 양면 계약,3387097,20,3387097,21,5000000
2026.3.5,기존 백엔드 연동 네이티브 앱  UI/UX 및 프론트엔드 개발,삼자 양면 계약,13000000,69,13000000,70,15000000
2026.3.5,6축 모션 시뮬레이터 모터 제어 SW 개발,삼자 양면 계약,5000000,68,5000000,68,7000000
2026.3.4,Spring Boot 기반 글로벌 SaaS 솔루션 백엔드 개발(신영석),삼자 위임 양면 계약,27999999,121,27999999,122,7000000
2026.3.5,원무과 접수 및 진료실 환자 선택 시 검사 프로그램 자동 입력 RPA 개발,삼자 양면 계약,6000000,44,6000000,45,6000000
2026.3.3,디지털 매거진 AI 기반 상품 추천 기능 개발,삼자 양면 계약,25000000,100,25000000,101,30000000
2026.3.9,앱 설치 유도 딥링크 적용 개발,삼자 양면 계약,500000,3,0,0,500000
,C언어 기반 OCPP 1.6 Websocket 통신 시스템을 JAVA로 변경,양자 계약,87000000,150,87000000,151,100000000
2026.3.5,PHP 기반 홈페이지 성능 및 AEO 고도화,삼자 양면 계약,3000000,35,3000000,36,3000000
2026.2.27,이미지 임베딩 기반 유사 색상 추천 챗봇(네이버톡톡 기반) 백엔드 구축,삼자 양면 계약,2500000,22,2500000,23,3000000
2026.2.27,Dify 연동 AI 업무 자동화 앱 모음 서비스 구축,삼자 양면 계약,1200000,11,1200000,12,10000000
2026.3.9,Unity 기반 디지털트윈 클라이언트 시스템 3D 개발(이준진),삼자 위임 양면 계약,14000000,58,14000000,59,7000000
2026.2.27,건설 현장 투입비 관리 및 업무 자동화 시스템 구축,삼자 양면 계약,29200000,62,29200000,63,30000000
2026.2.26,HOD 지그 제어용 안드로이드 태블릿 앱 개발,삼자 양면 계약,2000000,14,2000000,15,3000000
2026.2.27,프로토타입 기반 현장 안전 점검 및 보고서 자동화 시스템 개발,삼자 양면 계약,16200000,45,16200000,44,10000000
2026.2.27,Vimeo 연동 이러닝 플랫폼 프론트엔드 개발,삼자 양면 계약,10000000,69,10000000,70,10000000
2026.2.26,React 기반 쇼핑몰 운영 관리 및 유지보수(월200/3개월),삼자 양면 계약,6000000,91,6000000,92,6000000
2026.3.11,부동산 SaaS 플랫폼 고도화 및 연간 유지보수,삼자 양면 계약,60000000,364,0,0,60000000
2026.2.26,AI 기반 판례 검색 시스템 구축,삼자 양면 계약,33200000,64,33200000,65,30000000
2026.3.3,전자장비 제조 컨텐츠 디자이너(박찬기),삼자 위임 양면 계약,15000000,150,15000000,151,3000000
2026.2.25,박스 판매 및 자동 견적 플랫폼 구축,삼자 양면 계약,7000000,48,7000000,49,20000000
2026.3.9,CAN 통신 인증 프로그램 개발(김규선),삼자 위임 양면 계약,18051612,91,16451612,84,6000000
2026.2.25,심리상담센터 디자인 및 퍼블리싱 수정,삼자 양면 계약,1000000,11,1000000,12,1000000
2026.2.25,Spring Boot 기반 이커머스 통합관리 플랫폼 백엔드 개발(마지연),삼자 위임 양면 계약,1000000,7,1000000,15,4000000
2026.2.25,카페24 기반 쇼핑몰 메인 배너 미노출 오류 수정 및 정상화,삼자 양면 계약,100000,1,100000,2,300000
2026.2.26,Java 기반 판매 및 재고 전산 시스템 구축,삼자 양면 계약,9000000,124,9000000,125,30000000
2026.2.26,마아피 앱 QA,삼자 계약,5700000,42,5700000,43,5700000
2026.2.26,마이피 웹앱 랜딩페이지 제작,삼자 계약,3800000,42,3800000,43,3800000
2026.2.24,숏폼 영상 생성 스크립트 작성 (PoC),삼자 양면 계약,500000,8,500000,9,1000000
2026.2.24,워드프레스 Houzez 테마 커스텀,삼자 양면 계약,2000000,29,2000000,30,3000000
2026.2.25,Vue 기반 영업관리 시스템 웹앱 퍼블리싱(배혜진),삼자 위임 양면 계약,5500000,31,5500000,31,5500000
2026.2.23,엑셀-일러스트레이터 텍스트 배치 스크립트 개발,삼자 양면 계약,1500000,16,1500000,17,1500000
2026.2.25,AI 기반 온오프라인 소셜 매칭 플랫폼 구축,삼자 양면 계약,73700000,168,73700000,169,80000000
,VC++/MFC 기반 양산 테스트 설비 제어 프로그램 개발(정보석),삼자 위임 양면 계약,1875000,4,1875000,5,7500000
2026.2.27,VC++/MFC 기반 양산 테스트 설비 제어 프로그램 개발(한명탁),삼자 위임 양면 계약,1875000,4,1875000,5,7500000
2026.2.24,글로벌 SaaS 프로젝트 관리 솔루션 적용 분석/설계(전현정),삼자 위임 양면 계약,31999999,121,31483870,120,10000000
2026.3.3,실내 체험형 LED 발판 게임 유니티(Unity) 콘텐츠 개발,삼자 양면 계약,10000000,37,10000000,38,10000000
2026.2.25,수출용 중고차/사고차 자사몰 구축,삼자 양면 계약,19500000,71,17727273,72,20000000
2026.2.23,모니터링 시스템 복구 및 유지보수,삼자 양면 계약,1200000,17,1200000,18,1500000
2026.2.23,모두의 드라이브 어플리케이션 구축,삼자 양면 계약,28000000,102,28000000,103,0
2026.2.20,장학재단 홈페이지 메인 하단 유관기관 배너/링크 추가,삼자 양면 계약,200000,1,200000,2,200000
2026.2.24,NodeJS/React 기반 cafe24 주문 내역 집계 자동 시스템 개발,삼자 양면 계약,3500000,18,3500000,18,3500000
2026.2.23,Cafe24 기반 글로벌 쇼핑몰 해외 주소 입력 방식 수정 개발,삼자 양면 계약,1000000,33,1000000,5,1000000
2026.3.11,React Native 기반 사내 HRMS·업무지원 앱 개발(김병찬),삼자 위임 양면 계약,14619815,88,14619815,89,5000000
2026.2.24,네이버 스마트스토어 상품 문의(QnA) 자동 답변 시스템 구축(톡톡 제외),삼자 양면 계약,11000000,49,11000000,67,10000000
2026.2.13,cafe24 기반 인테리어 자재 쇼핑몰 구축,삼자 양면 계약,7000000,49,7000000,50,7000000
2026.2.20,웹 기반 차량 외관 검사 시스템 풀스택 개발,삼자 양면 계약,6000000,34,6000000,35,5000000
,Java 기반 큐셀 공식 홈페이지 유지보수 및 UI/UX 고도화,양자 계약,84000000,365,84000000,365,90000000
2026.2.20,데이터 마이그레이션 포함 통합 커머스 및 커뮤니티 플랫폼 구축,삼자 양면 계약,60000000,142,60000000,143,70000000
2026.2.19,IOT 센서 안전고리 실시간 체결 감지 앱 MVP 개발,삼자 양면 계약,8000000,34,8000000,35,8000000
2026.2.19,정보보안 솔루션 UI/UX 디자인 고도화,삼자 양면 계약,1800000,34,1800000,35,1800000
2026.2.19,기존 AI 챗봇 연동 서비스 개발,삼자 양면 계약,25000000,92,25000000,93,23000000
2026.2.12,PHP 기반 알림톡 연동·추천 시스템 개발 및 모바일 최적화,삼자 양면 계약,2000000,39,2000000,40,7000000
2026.2.19,빌딩 자동 제어 시스템 동작 시험 및 AI 기반 제어 PC 프로그램 개발,삼자 양면 계약,55000000,272,50000000,263,30000000
2026.2.13,지도형 SNS 커뮤니티 하이브리드 서비스 mvp구축,삼자 양면 계약,15000000,100,15000000,101,15000000
2026.2.23,oracle 11g to aws postgreSQL 변환,삼자 양면 계약,3500000,12,3500000,12,3500000
2026.3.3,Figma 기반 HR/Payroll 연말정산 시스템 UI/UX 디자인(김태길),삼자 위임 양면 계약,7612903,58,9516129,59,4500000
2026.2.27,손님용 모빌리티 예약 및 결제 앱 구축,삼자 양면 계약,17000000,97,17000000,130,20000000
2026.2.12,Flutter / Spring Boot 기반 모바일 앱 DB연동 백엔드 오류 수정,삼자 양면 계약,1000000,13,1000000,13,1000000
2026.2.13,발렛 주차 관리 플랫폼 MVP 구축,삼자 양면 계약,20000000,67,20000000,67,20000000
2026.2.11,.NET 기반 기능 수정 및 외부 시스템 연동 개발,삼자 양면 계약,1200000,10,1200000,16,1200000
2026.2.19,일본 앱 기반 글로벌 다국어(i18n) 확장 개발,삼자 양면 계약,10000000,33,10000000,34,10000000
2026.2.11,EMR 제어 및 데이터 추출을 위한 윈도우 RPA 모듈 개발,삼자 양면 계약,5500000,47,5500000,48,6000000
2026.2.11,신랑신부 맞춤형 본식 플래닝 및 전문 인력 중개 플랫폼 구축,삼자 양면 계약,47000000,1,47000000,86,40000000
2026.2.13,해외 타겟 하이퍼로컬 마켓플레이스 앱 MVP 개발,삼자 양면 계약,30000000,134,30000000,135,30000000
2026.2.10,히터/유량 PID 알고리즘 적용 커피머신 추출모듈 제어보드 개발(POC),삼자 양면 계약,7500000,56,7500000,57,10000000
2026.2.23,SK하이닉스 Java/Spring 기반 반도체 자산관리 시스템 백엔드 개발(박윤철),삼자 위임 양면 계약,36428571,145,36428571,146,7500000
2026.2.23,ESP32 기반 의료기기 펌웨어 개발(전영규),삼자 위임 양면 계약,21000000,88,21000000,89,7000000
2026.3.9,Python/AWS 기반 B2B 연계 시스템 풀스택 개발(송영재),삼자 위임 양면 계약,6611980,27,4614285,19,6800000
2026.2.9,Java/Spring 기반 SI 풀스택 개발(김형돈),삼자 위임 양면 계약,3000000,27,3000000,28,3000000
2026.2.11,Java/Angular 기반 면접평가시스템 기능 고도화 및 오류 수정,삼자 양면 계약,16000000,49,16000000,41,18000000
2026.2.11,Excel 기반 매크로 프로그램 시각화 개선 및 적용(미솔브어스),삼자 위임 양면 계약,3000000,30,3000000,31,3000000
2026.2.6,고도몰 기반 중고폰 판매 쇼핑몰 디자인 리뉴얼,삼자 양면 계약,1200000,16,1200000,17,3000000
2026.2.11,매디컬 공급업체 폐쇄몰 리뉴얼 기획,삼자 양면 계약,7000000,32,7000000,33,7000000
,RabbitMQ/ 바코드 기반 Cell/Jig 통합 관리 및 공정 트래킹 시스템 구축,양자 계약,41300000,74,41300000,75,35000000
2026.2.6,멀티 거래소 연동 가상화폐 전략 트레이딩 및 정산 플랫폼 구축,삼자 양면 계약,54825000,132,54825000,133,50000000
2026.2.20,Kotlin/Android 기반 모바일 앱 개발(유원상),삼자 위임 양면 계약,10000000,58,10000000,59,4000000
,HWP 템플릿 기반 문서 자동 생성 라이브러리 개발,양자 계약,5000000,33,5000000,34,6000000
2026.2.6,교육 플랫폼 카테고리별 대표 이미지 디자인,삼자 양면 계약,400000,2,400000,3,400000
2026.2.11,경진대회 참가자 관리 및 심사 부문별 독립 사이트 구축,삼자 양면 계약,25000000,277,25000000,298,25000000
2026.2.20,Figma기반 게임 프로젝트 UX/UI 디자인(공희진),삼자 위임 양면 계약,15000000,89,15000000,89,5000000
2026.2.19,"워드프레스 플러그인(Amelia, Edwiser, FluentCRM 등) 워크플로우 구현",삼자 양면 계약,2000000,5,2000000,9,2000000
2026.2.12,폐차장 전용 입찰 가치 산정 및 관리 시스템 개발,삼자 양면 계약,15000000,67,15000000,68,15000000
2026.3.12,삼성전자MCM GoLang 백엔드 개발(송재천),삼자 위임 양면 계약,4519062,25,4519062,25,8000000
2026.2.6,QR코드 연동 프로모션 웹페이지 개발,삼자 양면 계약,18000000,42,18000000,43,15000000
2026.3.4,ComfyUI API 연동 CRM 웹서비스 개발,삼자 양면 계약,12000000,53,0,0,20000000
2026.2.5,주문 접수 자동화 및 자동 송장 출력 기능 개발,삼자 양면 계약,2000000,66,2000000,67,5000000
2026.2.5,임직원 전용 입점형 폐쇄몰 및 포인트 정산 시스템 개발,삼자 양면 계약,40000000,109,36000000,110,40000000
2026.2.11,카카오톡 메시지 자동 발송 윈도우 프로그램 개발,삼자 양면 계약,5500000,22,5500000,28,3000000
2026.2.4,FPGA 기반 신호처리 알고리즘 임베디드 개발 (재택근무),삼자 양면 계약,3500000,33,3500000,34,3500000
,LLM 챗봇 도입 구조 포함 연구소 홈페이지 구축,양자 계약,9000000,56,9000000,57,8000000
2026.2.5,기획 제안서 PPT 제작 (상주 필수),삼자 양면 계약,1100000,2,1100000,3,1000000
2026.2.9,기존 ASP 웹시스템 PHP 전환 개발,삼자 양면 계약,25000000,134,25000000,135,25000000
2026.2.4,특허법률사무소 관리 프로그램 성능 개선 및 기능 고도화,삼자 양면 계약,2000000,22,2000000,23,2000000
,React 프런트엔드 개발(퍼블리싱 포함),양자 위임 계약,13200000,58,13200000,59,6000000
2026.2.25,React/Next기반 물류 관제 시스템 프론트엔드 개발(차현우),삼자 위임 양면 계약,5100000,36,5100000,37,4000000
2026.2.3,출가체험 교육용 웹 리뉴얼 개발,삼자 양면 계약,2000000,23,2000000,23,2000000
2026.2.3,의류 커스텀 쇼핑몰 리뉴얼 구축,삼자 양면 계약,36000000,139,36000000,140,40000000
2026.2.2,기업 소개 및 제휴 제안 접수를 위한 반응형 웹사이트 구축,삼자 양면 계약,1100000,15,1100000,16,1100000
2026.2.4,공식 대리점 홈페이지 구축(GEO/SEO 특화),삼자 양면 계약,8000000,65,8000000,66,8000000
2026.2.2,임베디드 3.5인치 LCD PPT to Figma 디자인,삼자 양면 계약,500000,6,500000,7,500000
2026.2.5,스마트 매장 운영 솔루션 UX 기획(박진주),삼자 위임 양면 계약,31800000,180,31800000,181,5500000
2026.2.2,테이블오더 앱 UX 현황 분석 및 개선사항 제안,삼자 양면 계약,4000000,34,4000000,35,2000000
2026.2.20,워드프레스 Houzez 테마 커스텀,삼자 양면 계약,2000000,44,0,0,3000000
2026.2.6,React/TypeScript 기반 AI 비주얼 플랫폼 개발(김지은),삼자 위임 양면 계약,13350000,89,13011635,89,4500000
2026.2.6,건설 장비 유류 관리 및 동선 관제 시스템 개발,삼자 양면 계약,2800000,32,2800000,33,5000000
2026.2.2,묘지 이장/개장 소개 및 견적 자동 산출 홈페이지 구축,삼자 양면 계약,2500000,32,2500000,33,2500000
2026.2.2,워드프레스 기반 자율주행 SW 스타트업 영문 웹사이트 UI/UX 디자인,삼자 양면 계약,1500000,16,1500000,17,1500000
2026.2.2,O2O 자전거 정비 업체 공유 및 예약서비스,삼자 양면 계약,22000000,130,22000000,131,25000000
2026.2.2,Embedded C 기반 MCU 펌웨어 마이그레이션 및 빌드 정리(정필섭),삼자 위임 양면 계약,4500000,23,4500000,24,4500000
2026.2.3,ePUB 스트리밍 뷰어 및 구독 플랫폼 구축,삼자 양면 계약,23000000,70,23000000,71,20000000
2026.1.30,해외 고객 대상의 글로벌(영/중) 웹사이트 구축,삼자 양면 계약,3500000,6,2500000,34,2500000
2026.1.29,주문형 카페 키오스크 UI 리뉴얼(배리어프리) 디자인,삼자 양면 계약,1300000,29,1300000,30,1200000
2026.1.29,보증수리 대차 업무 전용 관리 시스템 개발,삼자 양면 계약,16363636,100,16363636,100,20000000
2026.1.29,Next 프런트엔드 개발(김윤찬),삼자 위임 양면 계약,4000000,29,4000000,31,3500000
2026.3.5,전자장비 제조 컨텐츠 디자이너 모집 (주 4일 근무/ 재택 근무)(김승준),삼자 위임 양면 계약,18000000,179,3000000,27,3000000
,외국인 전용 다국어 배달 플랫폼 유지보수 (기간 연장 가능),삼자 양면 계약,3600000,90,3600000,97,3600000
2026.1.29,kotlin/Spring Boot 기반 백오피스 개발(이종협),삼자 위임 양면 계약,66000000,333,66000000,334,5500000
2026.1.28,기존 PHP 홈페이지 퍼블리싱,삼자 양면 계약,990000,7,990000,8,1000000
2026.1.30,델파이(Delphi) 기반 LPR 시스템 제어 로직 API 모듈화 및 경량화,삼자 양면 계약,4000000,71,4000000,72,8000000
2026.2.6,하이브리드 앱 모바일 Native 파트 기능 개발(오군영),삼자 위임 양면 계약,11857142,87,11857142,88,4000000
2026.1.30,NestJS 기반 헬스케어 서비스 백엔드 개발(황창환),삼자 위임 양면 계약,20000000,119,20000000,120,5000000
2026.1.28,골프장 상품소개 영업 제안서 PPT 디자인,삼자 양면 계약,500000,3,500000,4,500000
2026.1.28,기업 홈페이지 디자인 및 콘텐츠 리뉴얼,삼자 양면 계약,3500000,34,3500000,35,3500000
