실제 최종 계약 체결일,계약 명,계약 형태,최초 계약 금액,최초 계약 기간(추정),현재 계약 금액,현재 계약 기간,모집 금액
2026.1.27,체외진단 의료기기 연동 결과 리포트 생성 프로그램 개발,삼자 양면 계약,10000000,67,10000000,68,10000000
2026.1.27,Bubble/Next.js 기반 운동 공간 모니터링 시스템 Python으로 재구성,삼자 양면 계약,3636364,25,3636364,26,3600000
2026.1.30,당사 물류센터에 맞는 WMS(창고관리시스템) 개발,삼자 양면 계약,38000000,1,38000000,145,40000000
2026.1.29,Flutter 기반 장정맥 인증 키오스크 클라이언트 및 관리자 앱 개발,삼자 양면 계약,20000000,71,20000000,72,15000000
2026.1.26,바이브 코딩 생성 결과물 운영 및 배포 가이드 기술 자문,삼자 양면 계약,100000,1,100000,2,100000
,기존 오픈마켓 서비스 B2B 쇼핑몰 전환 리뉴얼 개발,양자 계약,35600000,60,35600000,61,30000000
2026.1.27,기업 홈페이지 및 자사 제품 검색 및 추천 AI 챗봇 구축,삼자 양면 계약,20000000,97,20000000,98,30000000
2026.1.26,C# 게임 서버 DB 저장 오류 및 로직 수정,삼자 양면 계약,1000000,7,1000000,8,1000000
2026.1.26,1인 콜밴 회사 소개 및 예약 서비스 구축,삼자 양면 계약,9000000,67,9000000,68,8000000
2026.1.23,IT 매칭 플랫폼 로고(BI/CI) 디자인,삼자 양면 계약,900000,15,900000,16,500000
,React 기반 제조용 시스템 프론트엔드 개발 (류지환),양자 근로 계약,23200000,120,23200000,120,5000000
2026.1.26,B2B 가구 도매 주문 및 거래 관리 시스템 구축,삼자 양면 계약,10100000,64,8100000,65,20000000
2026.1.23,Unity 앱·서버 통합 상태 기술 진단,삼자 양면 계약,1000000,7,1000000,8,1000000
2026.1.23,무인 매장 관리를 위한 안드로이드 키오스크 및 웹 ERP 개발,삼자 양면 계약,40000000,129,40000000,130,40000000
2026.1.26,통신 대리점 전용 고객관리 및 업무 자동화 시스템 구축,삼자 양면 계약,27000000,93,27000000,94,30000000
2026.1.26,O2O 플랫폼 상세 기획 및 UI/UX 디자인 (김희진),삼자 위임 양면 계약,9000000,66,9000000,67,4000000
,MSSQL to Oracle DB 전환 (남종철),양자 위임 계약,11360000,40,11360000,41,독립 계약
2026.1.26,글로벌 커머스 앱/웹 구축 프로젝트 PM(황철희),삼자 위임 양면 계약,16800000,119,16800000,120,4000000
2026.1.22,수요자 맞춤 항공 웹 서비스 리디자인,삼자 양면 계약,3100000,22,3100000,23,3150000
2026.1.22,AI 안면인식 및 GPS 기반 스마트 근태/정산 관리 시스템 구축,삼자 양면 계약,85000000,129,85000000,129,85000000
2026.2.25,고객사 데이터(MariaDB)를 자사 솔루션(MySQL)에 마이그레이션,삼자 양면 계약,5000000,64,1500000,37,5000000
2026.1.22,AI 캐릭터 챗봇 앱 UX 설계 및 와이어프레임 제작,삼자 양면 계약,900000,17,900000,18,1000000
2026.1.22,온라인 강의(LMS) 및 커뮤니티 통합 플랫폼 구축,삼자 양면 계약,19000000,64,19000000,65,20000000
2026.1.21,초등 영어 교육 콘텐츠 디자인/2D 모션그래픽/퍼블리싱,삼자 양면 계약,8000000,31,8000000,32,8000000
2026.1.22,B2B 아웃소싱 중개 매칭 플랫폼 구축,삼자 양면 계약,20000000,110,20000000,131,20000000
2026.1.21,React/Next.js 기반 하이브리드 앱 프론트엔드 개발(장도현),삼자 위임 양면 계약,10500000,89,10500000,90,3500000
,제품 주문/렌탈 고객 Portal 및 내부 관리자 개발,양자 계약,55400000,139,55400000,140,300000000
2026.1.19,핸드폰 사용 금지 앱 구축,삼자 양면 계약,12000000,35,12000000,35,12000000
2026.1.19,자동차 렌트 및 리스 상담 문의 접수 웹사이트 구축,삼자 양면 계약,9460000,47,9460000,48,7000000
2026.2.9,스마트 매장 운영 솔루션 UX 기획(신민철),삼자 위임 양면 계약,31800000,180,1471407,9,5500000
2026.1.20,MES 기반 내부 ERP 시스템 및 웹사이트 리뉴얼 기획(오승호),삼자 위임 양면 계약,29999999,180,29999999,181,5000000
2026.1.16,.NET 기반 기능 수정 및 외부 시스템 연동 개발,삼자 양면 계약,700000,6,700000,6,600000
2026.1.21,iOS 멤버십 구독 및 결제 서버 동기화 시스템 구축,삼자 양면 계약,30000000,27,30000000,28,30000000
2026.1.19,일기 쓰기 기반 리워드앱 MVP 개발,삼자 양면 계약,7000000,58,7000000,58,8000000
2026.1.15,건기식 경험 공유 커뮤니티 개발,삼자 양면 계약,8000000,66,8000000,67,8000000
2026.1.29,PHP/MySQL 기반 B2B 쇼핑몰 관리자 페이지 개발 및 운영(정영훈),삼자 위임 양면 계약,32999999,180,32999999,181,5500000
2026.1.19,IoT 기기 데이터 플랫폼 및 제어 모바일앱 구축,삼자 양면 계약,100000000,143,100000000,147,100000000
2026.1.16,ESP32 및 5G 통신 연동 웨어러블 디바이스 하드웨어/펌웨어/SW 통합 구축,삼자 양면 계약,100000000,73,100000000,63,80000000
2026.1.15,기 개발된 웹 내 주얼리 관련 게시판 형태의 커뮤니티 추가 개발,삼자 양면 계약,4000000,42,4000000,43,3000000
2026.1.16,AI 챗봇 기반 강연 섭외 및 운영 자동화 시스템 구축,삼자 양면 계약,34400000,69,34400000,68,30000000
2026.1.15,현장 엔지니어 작업보고서(Job Card) 모바일 앱 및 통합 관리자 시스템 개발,삼자 양면 계약,28400000,69,28400000,70,25000000
2026.1.14,PHP/MySQL 기반 전산 기능 고도화,삼자 양면 계약,800000,5,800000,6,800000
2026.1.20,관리자 설정형 범용 웹 스크래핑 시스템 및 어드민 구축,삼자 양면 계약,9000000,67,9000000,68,8000000
2026.1.20,법무법인 채권 권리분석 업무 자동화 웹 솔루션 구축,삼자 양면 계약,20000000,93,20000000,94,20000000
2026.1.14,Next.js/워드프레스 기반 사이트 구조적 결함 해결 및 SEO 정상화,삼자 양면 계약,1900000,7,900000,8,1000000
2026.1.15,태양광 발전소 모니터링용 RTU 개발,삼자 양면 계약,38000000,113,38000000,114,20000000
2026.1.20,온라인 아트 커미션 거래 플랫폼(MVP) 개발,삼자 양면 계약,25000000,200,25000000,201,20000000
2026.1.14,자기장 효능 안내 및 위치 기반 알림 서비스 구축,삼자 양면 계약,13636364,37,13636364,38,15000000
,뷰티 추천 앱 프로세스 고도화 및 기능 개선,양자 계약,5500000,18,5500000,22,5500000
,XD 기반 통신업 UI/UX 디자인,양자 위임 계약,6800000,30,20400000,90,6500000
2026.2.3,Unity 기반 디지털트윈 클라이언트 시스템 3D 개발(이준진),삼자 위임 양면 계약,7000000,30,7000000,31,7000000
2026.1.14,사주 분석 PDF 자동 생성 및 카카오 알림톡 발송 시스템 개발,삼자 양면 계약,7000000,34,7000000,50,5000000
2026.1.12,스마트 매장 운영 솔루션 UX 기획(소준석),삼자 위임 양면 계약,30600000,180,30600000,181,4000000
2026.1.12,온도 기반 도서 리뷰 플랫폼 구축,삼자 양면 계약,9000000,67,9000000,68,15000000
,AI SaaS 서비스 웹 풀스텍 개발(주3일 근무/재택)(최경락),양자 근로 계약,5000000,59,5000000,59,2500000
2026.1.14,출판사 공모전 통합 접수/심사 플랫폼 구축,삼자 양면 계약,40000000,130,40000000,131,40000000
2026.1.16,우체국 택배 API 연동 웹 기반 운송장 출력 프로그램 개발,삼자 양면 계약,3900000,23,3900000,24,4000000
2026.1.9,서버 제어 및 웹 트리거 기반의 원격 제어 클라이언트/호스트 개발,삼자 양면 계약,18000000,64,18000000,64,12000000
2026.1.13,PHP 기반 세무 프로그램 개발 리드(조용중),삼자 위임 양면 계약,16500000,89,16500000,90,5500000
2026.1.12,MQTT/INFLUXDB/PHP WEB/AOS APP 대시보드 개발,삼자 양면 계약,19000000,64,19000000,65,20000000
2026.1.8,공식 홈페이지 React 기반 웹 퍼블리싱,삼자 양면 계약,2700000,12,2700000,13,2300000
2026.1.8,50만 유튜브 채널 영어단어 암기 모바일앱/백엔드 풀스텍 개발(김원응),삼자 위임 양면 계약,9000000,58,9000000,59,5000000
,Python/Bash 기반 AI 학습데이터 구축(이음),양자 계약,6500000,40,6500000,41,30000000
,프로젝트 컨텍스트 분석 기반 기업용 기술 문서 자동화 솔루션 구축,양자 계약,20000000,46,20000000,47,20000000
2026.1.13,머신러닝/딥러닝 모델링 역량 평가 문항 개발,삼자 양면 계약,3000000,15,3000000,16,5000000
2026.1.8,Next.js 기반 도메인 서비스 프론트엔드 재구축,삼자 양면 계약,35000000,144,35000000,145,30000000
2026.1.29,IoT 열선 원격 제어 및 CCTV 관제 앱 구축,삼자 양면 계약,15000000,87,18000000,88,20000000
2026.1.7,ChatGPT API 연동 기반 AI 서비스 MVP 개발 (핵심 기능 1~2개),삼자 양면 계약,2800000,31,2800000,32,1500000
2026.1.7,GPS 연동 및 자연어 검색이 가능한 오프라인 매장 찾기 기능 구현,삼자 양면 계약,3300000,17,3300000,18,15000000
,React 기반 쇼핑몰 웹 서비스 리뉴얼 프론트엔드 개발,양자 위임 계약,40916129,176,40916129,177,7000000
2026.1.6,솔루션 기반 소프트웨어 판매 스타트업 홈페이지 구축,삼자 양면 계약,2000000,22,2000000,23,1800000
2026.1.6,스포츠 판독용 고화질 영상 기록 및 구간 계측 솔루션 개발,삼자 양면 계약,27000000,34,27000000,35,35000000
2026.1.9,피트니스 전문가 매칭 및 예약 결제 플랫폼 구축,삼자 양면 계약,33000000,129,33000000,130,30000000
2026.1.5,고정밀 MEMS 센서 기반 데이터 수집 및 장거리(RS-485) 전송 시스템 개발,삼자 양면 계약,15000000,76,15000000,77,15000000
2026.1.6,OpenAI Realtime API 기반 웹 STT 음성 인식 개선,삼자 양면 계약,5400000,14,5400000,10,5000000
2026.1.5,수집형 아이템 랜덤 박스 및 C2C 거래 모바일 앱 구축,삼자 양면 계약,40600000,71,40600000,70,40000000
2026.1.5,PDF 문서 유형 자동 분류 및 JSON 기반 정형 데이터 추출 모듈 개발,삼자 양면 계약,2000000,7,2000000,8,2000000
2026.1.9,행사 기획 브랜드 홈페이지 구축,삼자 양면 계약,3000000,32,3000000,33,3000000
2026.1.12,인쇄물 자동 견적 및 온라인 주문 플랫폼 구축,삼자 양면 계약,43926400,107,43926400,108,50000000
2026.1.2,퍼널형 평가 및 결제 웹 서비스 개발,삼자 양면 계약,8000000,37,8000000,38,8000000
,온디바이스 LLM/RAG 챗봇 서비스 AI 파인튜닝,삼자 양면 계약,18000000,110,18000000,111,6500000
,Java/Spring Boot 기반 판매/물류/회계 시스템 백엔드 개발(이원규),삼자 위임 양면 계약,14032258,54,26612895,106,7500000
,모바일/웹 기반 학원시스템 QA (임지영),양자 위임 계약,10500000,89,2709677,24,3500000
,Linux/Docker 기반 AI 모델 트레이닝(유치준),양자 계약,6500000,35,8840000,72,30000000
,AI·ML/Scientific Computing 기반 데이터 구축 프로젝트(신광현),양자 계약,6500000,35,7220000,72,30000000
2026.2.4,NXP i.MX 8M Mini 기반 LED 전광판 제어 시스템 개발,삼자 양면 계약,20000000,70,10000000,45,15000000
,Python/Bash 기반 AI 학습데이터 구축(리프링크 주식회사),양자 계약,6500000,52,3250000,53,30000000
2026.2.5,콘텐츠 제작비 손익 분석 및 파트너 정산 자동화 시스템 구축,삼자 양면 계약,10600000,40,10600000,40,43000000
2026.2.27,건설업 특화 B2B 자재 조달 관리 SaaS 플랫폼 구축,삼자 양면 계약,47846400,133,56851200,140,50000000
2026.2.23,Java/Spring Boot 기반 판매/물류/회계 시스템 백엔드 개발(김민욱),삼자 위임 양면 계약,14032258,54,28790310,116,7500000
,채용공고 키 비주얼 및 상세 페이지 작업,삼자 양면 계약,900000,19,900000,20,1000000
2026.2.2,Python 기반 챗봇 에이전트 개발 및 대시보드 API 연동(최경락),삼자 위임 양면 계약,9870967,49,11419354,59,7000000
2026.2.9,Unity 기반 런타임 3D 에디팅 협업 플랫폼 개발,삼자 양면 계약,33000000,72,33000000,73,35000000
,학생 상담센터 자가진단 앱 개발,양자 계약,7272728,37,7272728,37,2727273
2026.1.30,Java/Next.js 기반 현대자동차 그룹사 사내 시스템 풀스택 개발(김석경),삼자 위임 양면 계약,16500000,91,34500000,181,5500000
2026.2.24,Python 기반 데이터 수집 및 보고서 자동화 시스템 구축(박광태),삼자 위임 양면 계약,12000000,89,16000000,121,3500000
2026.1.19,헬스케어/메디컬 서비스 기획 및 UI/UX 기획(공희진),삼자 위임 양면 계약,34200000,181,3520588,21,6000000
,P0003929_1_FAIX강대은LDTI결산시스템구축_에이스손보(이미정),삼자 위임 양면 계약,26000000,57,37500000,92,독립 계약
2026.3.4,TCG 공식 이벤트 참여 및 커뮤니티 앱 개발,삼자 양면 계약,40000000,135,40000000,135,40000000
,SK 하이닉스 XD 기반 AI 플랫폼 웹디자인,양자 위임 계약,6200000,30,26288000,128,6200000
,Python 백앤드 AI 플랫폼 로그처리 개발,양자 위임 계약,15000000,61,30000000,121,8000000
2026.2.6,외부 고객사 맞춤형 쇼핑몰 UI/UX 디자인,삼자 양면 계약,4000000,66,4000000,105,6000000
2026.3.10,그누보드 기반 신규 커뮤니티 사이트 구축,삼자 양면 계약,18000000,197,21000000,198,18000000
,SK 하이닉스 Python 기반 AI플랫폼 백엔드 개발,양자 위임 계약,12300000,49,19800000,81,8000000
2026.2.5,React 기반 헬스케어 서비스 프론트엔드 개발 (재택근무 조율 가능) (임다래),삼자 위임 양면 계약,15190475,91,29913978,181,5000000
,SK 하이닉스 내부 솔루션 React 프론트엔드 개발,양자 위임 계약,14550000,58,22050000,90,7500000
,SK 하이닉스 내부 솔루션 React 프론트엔드 개발,양자 위임 계약,10670000,58,16170000,90,7500000
2026.2.5,레거시 iOS 앱 현대화 및 안정화,삼자 양면 계약,10000000,53,5660000,27,9500000
,"기 운영 중인 Flutter/Node.js 기반 중개 플랫폼 기능 추가 및 개선, 오류 수정",양자 계약,5000000,150,11000000,335,12000000
,Power BI 기반 데이터 시각화 PoC 구축,삼자 양면 계약,17000000,52,17000000,53,19000000
,Python/FastAPI 백엔드 개발,양자 위임 계약,5500000,30,25315816,123,5000000
2026.2.6,Windows 네이티브 BLE 연동 모듈 개발(추연학),삼자 위임 양면 계약,15950000,88,21450000,117,6500000
2026.1.27,AI 기반 SI 프로젝트 리딩 개발 PM(조용규),삼자 위임 양면 계약,28500000,91,64500000,151,9500000
,AI 플랫폼 백엔드 Python 개발,양자 위임 계약,10670000,58,16170000,90,7500000
,Python 백앤드 LLM AI agent 개발,양자 위임 계약,15466666,58,23520000,90,8000000
2026.1.9,공공기관 모니터링 솔루션 공급 및 구축 BE 개발 (이창섭),삼자 위임 양면 계약,19499999,91,11657608,55,6500000
,Vue 또는 React 기반 포탈/데이터 시각화 프런트 개발,양자 위임 계약,22354837,98,22354837,98,7000000
2026.2.4,nRF 기반 의료기기 펌웨어 개발(정용환),삼자 위임 양면 계약,22050000,91,44100000,181,7000000
,홈택스 연동 세무관리 플랫폼 개발,삼자 양면 계약,25000000,99,25000000,103,40000000
,Three.js/React 기반 공장 창고 3D 웹 프론트엔드 개발,양자 근로 계약,30000000,150,30000000,182,5000000
,사내 인트라넷 웹 운영 및 유지보수_2차 연장 계약,삼자 계약,15000000,182,15000000,182,24000000
2026.2.26,교육/언론 플랫폼 내 해외 결제 추가 기획/프런트 개발/QA,삼자 양면 계약,8000000,55,10000000,200,5000000
,AI 플랫폼 백엔드 Python 개발,양자 위임 계약,24750000,100,32250000,132,7500000
,하이닉스 AI 플랫폼 시스템 개발,양자 위임 계약,29700000,100,38700000,132,8000000
2026.1.8,의료장비 PC 프로그램 UI/UX 디자인(김수민),삼자 위임 양면 계약,12000000,90,16000000,122,4000000
2026.3.10,Spring Boot 기반 의료 서비스 백엔드 개발(심성민),삼자 위임 양면 계약,19366666,83,54366666,235,7000000
2026.2.11,포토 키오스크 SW 및 관리자페이지 개발,삼자 양면 계약,37000000,130,39800000,145,37000000
2026.2.3,문화 체험 콘텐츠 티켓 중개/관리 플랫폼 구축,삼자 양면 계약,52000000,152,52000000,194,60000000
2026.1.30,WiFi 지원 5G 라우터 Firmware 개발,삼자 양면 계약,30000000,106,9000000,33,7000000
,SK 하이닉스 빅데이터 플랫폼 JAVA 개발,양자 위임 계약,38480000,146,42840000,163,8000000
2026.1.22,Java/Spring Boot 기반 글로벌 서비스 백엔드 개발(황인우),삼자 위임 양면 계약,10500000,91,22206521,193,5000000
,B2B 거래처 전용 폐쇄몰 구축 (솔루션 이용 가능),삼자 양면 계약,10000000,67,10000000,76,10000000
2026.2.3,포인트를 활용한 결제(Pay)앱 기획 및 개발,삼자 양면 계약,50000000,81,35000000,49,60000000
2026.2.4,L통신사 IVR(ARS) 고도화 프로젝트 PM 구인(최용우),삼자 위임 양면 계약,48000000,183,56000000,215,8000000
2026.1.7,비전 AI 불량품 검사 프로그램 개발,삼자 양면 계약,12000000,44,0,0,15000000
2026.2.10,Dallas 프로젝트 개발(배창현),삼자 위임 양면 계약,16285710,91,40237890,227,5428570
2026.2.23,판매/물류/회계 시스템 백엔드 Java/Spring Boot 개발(강등웅),삼자 위임 양면 계약,42000000,183,70000000,304,8500000
2026.2.23,판매/물류/회계 시스템 백엔드 Java/Spring Boot 개발(양호성),삼자 위임 양면 계약,33000000,183,55000000,304,8500000
2026.2.27,판매/물류/회계 시스템 백엔드 Java/Spring Boot 개발(김도연),삼자 위임 양면 계약,50856666,212,84550000,350,8500000
,판매/물류/회계 시스템 백엔드 Java/Spring Boot 개발(안병민),삼자 위임 양면 계약,38316666,212,52250000,289,8500000
,생체신호 데이터 파이프라인 및 API 개발,삼자 양면 계약,8000000,39,15000000,87,8000000
2026.2.10,Node.js/React 기반 IT 자산관리 고도화 풀스택 개발(송재천),삼자 위임 양면 계약,16500000,91,46092391,257,6500000
,코딩 데이터 가공 및 품질 검수 업무 (김민지),삼자 위임 양면 계약,3000000,29,2127000,244,3000000
2026.1.7,트레이딩 카드 오픈마켓 플랫폼 구축,삼자 양면 계약,60000000,189,60000000,206,60000000
2026.1.14,AI식단기록/상품추천/리워드 모바일앱 구축,삼자 양면 계약,40000000,69,29208000,205,70000000
2026.1.8,물리 com port 공유 프로그램 개발,삼자 양면 계약,8000000,30,1600000,3,5000000
2026.3.9,Flutter 기반 앱서비스 QA (주 10시간 재택근무)(홍상의),삼자 위임 양면 계약,1000000,58,9400000,607,1000000
,"렌즈 가상 착용 및 구매, 픽업 서비스 앱 개발",삼자 양면 계약,65000000,147,65000000,148,70000000
2026.1.26,HiNAS Cloud 기능 개발 및 운영,삼자 위임 양면 계약,18000000,91,126000000,639,6000000
,교육플랫폼 반응형웹 유지보수 풀스택 개발(재택/주 10시간 근무)(김융이),삼자 위임 양면 계약,24000000,364,44000000,669,1500000
,여행 및 숙박 플랫폼 반응형 웹 디자인/개발,삼자 계약,44200000,195,35000000,926,45000000