모집 시작일,프로젝트 명,모집 마감일,직군,레벨,경력,예상 금액,월 금액,예상 기간,구인 유형,구인 배경,프로젝트 산업 분야,근무 지역,근무 시간
2026.3.12,Websquare 기반 캐피탈 시스템 개발,2026.3.26,모바일 앱 개발자,시니어,4~10년 차,79083333.33333333333333333335,6500000,365,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 영등포구 여의도,오전 9시 ~ 오후 6시
2026.3.12,Java/Spring 기반 사내 시스템 백엔드 개발,2026.3.26,백엔드 개발자,미드 레벨,4~7년 차,30000000.00000000000000000001,5000000,180,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 영등포구 에이스하이테크시티,오전 9시 ~ 오후 6시
2026.3.12,NestJS 기반 해운비지니스 eCommerce 시스템 백엔드 개발,2026.3.26,백엔드 개발자,시니어,5~20년 차,45000000,7500000,180,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,"서울특별시 서초구 강남대로 465, 교보생명빌딩 B동 24층",오전 9시 ~ 오후 6시
2026.3.12,Next.js 기반 해운비즈니스 eCommerce 프론트엔드 개발,2026.3.26,프론트엔드 개발자,시니어,5~20년 차,45000000,7500000,180,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,"서울특별시 서초구 강남대로 465, 교보생명빌딩 B동 24층",오전 9시 ~ 오후 6시
2026.3.12,플랫폼 UI/UX 화면 설계 및 시스템 로직 기획,2026.3.26,서비스 기획자,시니어,7~15년 차,13000000.00000000000000000000,6500000,60,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 금천구 가산디지털2로 173 에이스비즈포레 619호,오전 9시 ~ 오후 6시
2026.3.12,AI 기반 CRM 상담 웹 서비스 기획,2026.3.26,서비스 기획자,미드 레벨,3~7년 차,12900000.00000000000000000000,4300000,90,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 영등포구 여의도 오투타워,오전 10시 ~ 오후 7시
2026.3.12,Web 기반 AI 법률 상담서비스 풀스택 개발,2026.3.26,풀스택 개발자,주니어,1~3년 차,6000000,3000000,60,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,,인천광역시 부평구 한라비발디 오피스텔,오전 9시 ~ 오후 6시
2026.3.12,AI 기반 상담 및 CRM 통합 서비스 UI/UX 디자인,2026.3.26,UI/UX 디자이너,미드 레벨,4~5년 차,7399999.999999999999999999998,3700000,60,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 영등포구 여의도 오투타워,오전 10시 ~ 오후 7시
2026.3.11,SIEM 기반 로그 분석 및 침해사고 보안 엔지니어,2026.3.25,클라우드 보안 엔지니어,시니어,10년 차 이상,62999999.99999999999999999999,7000000,270,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경기도 성남시 분당구 정자동,오전 9시 ~ 오후 6시
2026.3.11,Spring 기반 쇼핑몰 CAFE24 API 연동 백엔드 개발,2026.3.25,백엔드 개발자,미드 레벨,5~7년 차,11000000.00000000000000000000,5500000,60,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,판매•유통업,서울특별시 성동구 아차산로 17,오전 10시 ~ 오후 7시
2026.3.11,Swift 기반 EV 충전 서비스 통합 CPO B2C iOS 앱 개발,2026.3.25,iOS 개발자,미드 레벨,4~7년 차,30000000.00000000000000000001,5000000,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 종로구 율곡로 75 현대사옥,오전 9시 ~ 오후 6시
2026.3.11,공공기관 프로젝트 사업 기획 (재택근무 조율 가능) ,2026.3.25,서비스 기획자,시니어,8~10년 차,5499999.999999999999999999999,5500000,30,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,"경기도 용인시 수지구 포은대로59번길37, 시그니처광교1차 610호",오전 9시 ~ 오후 6시
2026.3.11,Spring 기반 SaaS 솔루션 연동 백엔드 개발,2026.3.25,백엔드 개발자,미드 레벨,4~7년 차,24000000,6000000,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 강남구 봉은사역 근처,오전 9시 ~ 오후 6시
2026.3.11,D2C 대형가전 플랫폼 서비스 기획자(주문클레임 파트),2026.3.25,서비스 기획자,미드 레벨,3~15년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,,서울특별시 영등포구 여의도 트윈타워,오전 9시 ~ 오후 6시
2026.3.11,AI/LLM 연계 문항 추출/생성 엔진 개발,2026.3.25,백엔드 개발자,미드 레벨,4~7년 차,55999999.99999999999999999999,7000000,240,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,교육업,서울특별시 서초구 남부순환로 2547(서초동 1354-3),오전 9시 ~ 오후 6시
2026.3.11,React/MSSQL 기반 웹 개발,2026.3.25,풀스택 개발자,테크 리드,11년 차 이상,24000000.00000000000000000000,8000000,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경상남도 창원시 성산구 정동로 162번길 40,오전 8시 ~ 오후 5시
2026.3.11,Vue.js 기반 증권 홈페이지 퍼블리싱,2026.3.25,퍼블리셔,미드 레벨,4~9년 차,15000000.00000000000000000000,5000000,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,금융•은행업,서울특별시 마포구,오전 9시 ~ 오후 6시
2026.3.11,건강관리 앱 Spring Boot 백엔드 개발,2026.3.24,백엔드 개발자,미드 레벨,8~10년 차,36000000,6000000,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,결원이 발생하여 작업자를 구인하고 있습니다.,의료•제약업,서울특별시 종로구 대학로57,오전 9시 ~ 오후 6시
2026.3.10,멀티모달 비전 AI·OCR 파이프라인 개발  (재택근무 협의),2026.3.24,AI/ML/Data 엔지니어,시니어,경력 무관,6999999.999999999999999999999,7000000,30,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 강남구 교대역오피스,주 40시간 탄력근무(자율 출퇴근)
2026.3.10,React/Java 프런트엔드 개발(Lead),2026.3.24,프론트엔드 개발자,미드 레벨,6~9년 차,32999999.99999999999999999999,5500000,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,의료•제약업,서울특별시 종로구 대학로 57,오전 9시 ~ 오후 6시
2026.3.10,Flutter 기반 헬스케어 앱 개발(재택 협의 가능),2026.3.24,모바일 앱 개발자,미드 레벨,5~10년 차,30000000.00000000000000000000,10000000,90,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,의료•제약업,서울특별시 강남구 양재역 근처 도보 5분 거리,오전 9시 ~ 오후 6시
2026.3.10,Kotlin기반 Android 치료기기 연동 앱 개발,2026.3.24,모바일 앱 개발자,시니어,3~5년 차,9000000,4500000,60,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 구로구 디지털로30길 28 609호,오전 9시 ~ 오후 6시
2026.3.10,ERP 기반 유통업체 시스템 기획 PL,2026.3.24,UI/UX 기획자,시니어,8~10년 차,24000000,6000000,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,판매•유통업,서울특별시 강남구 논현동,오전 9시 ~ 오후 6시
2026.3.10,Laravel/Inertia.js 기반 쇼핑몰 풀스택 개발,2026.3.24,풀스택 개발자,미드 레벨,3~5년 차,23999999.99999999999999999999,4000000,180,사내 프로젝트에 필요한 인력을 구인합니다.,결원이 발생하여 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 마포구 성암로 330 DMC첨단산업센터 801호,오전 9시 ~ 오후 6시
2026.3.10,멀티체인 정산 프로토콜 구축 CTO(주 20시간/재택),2026.3.24,CTO,디렉터,경력 무관,72000000,6000000,360,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,,주 20시간 탄력근무(자율 출퇴근)
2026.3.10,미래에셋생명 챗봇 고도화 풀스택 개발,2026.3.24,풀스택 개발자,미드 레벨,6~9년 차,57000000,6000000,285,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 영등포구 여의도,오전 9시 ~ 오후 6시
2026.3.10,ERP DevOps UI/UX 디자인 고도화 (재택근무),2026.3.24,UI/UX 디자이너,미드 레벨,4~7년 차,9000000,3000000,90,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,,오전 10시 ~ 오후 4시
2026.3.11, C++/C# 기반 이송장치 영상분류 시스템 개발,2026.3.25,풀스택 개발자,미드 레벨,4~7년 차,10000000.00000000000000000000,5000000,60,사내 프로젝트에 필요한 인력을 구인합니다.,결원이 발생하여 작업자를 구인하고 있습니다.,제조•생산•화학업,경기도 용인시 처인구 미팅 시 공유,오전 9시 ~ 오후 6시
2026.3.9,식품업 온라인 쇼핑몰 서비스 기획 및 운영 (재택근무),2026.3.23,서비스 기획자,미드 레벨,4~7년 차,7999999.999999999999999999998,4000000,60,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,판매•유통업,경기도 김포시,오전 9시 ~ 오후 6시
2026.3.9,Nexacro/Java기반 학사/입시/행정시스템 유지보수 개발,2026.3.23,풀스택 개발자,미드 레벨,3~5년 차,55000000.00000000000000000001,5000000,330,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,교육업,경상북도 문경시 미팅 시 공유,오전 9시 ~ 오후 6시
2026.3.9,윈도우 POS 운영지원 및 신규 기능 개발 (재택근무 조율) ,2026.3.10,풀스택 개발자,미드 레벨,4~6년 차,30000000.00000000000000000001,5000000,180,사내 프로젝트에 필요한 인력을 구인합니다.,결원이 발생하여 작업자를 구인하고 있습니다.,IT•정보통신업,"서울특별시 성동구 성수일로 89 (성수동1가, Metamorpho(지식산업센터)) 901호",오전 10시 ~ 오후 7시
2026.3.9,"Java기반 AI Chat 앱	백엔드 개발",2026.3.23,백엔드 개발자,시니어,8~10년 차,0,0,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.9,React기반 AI Chat 앱 어드민 개발,2026.3.23,프론트엔드 개발자,미드 레벨,4~7년 차,0,0,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.9,Three.js/Babylon.js 기반 3D 웹 서비스 개발,2026.3.23,프론트엔드 개발자,미드 레벨,3년 차 이상,62999999.99999999999999999999,7000000,270,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,경기도 성남시 수정구 경기기업성장센터 (제2판교테크노밸리),오전 9시 ~ 오후 6시
2026.3.9,React기반 AI Chat 앱 프론트엔드 개발,2026.3.23,프론트엔드 개발자,시니어,8~10년 차,0,0,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.9,통신사 AI Chat DevOps 개발,2026.3.23,DevOps 엔지니어,미드 레벨,4~7년 차,0,0,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.10,통신사 AI Chat 아키텍쳐 설계(TA),2026.3.23,TA (테크니컬 아키텍트),시니어,8~10년 차,0,0,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.9,보안시스템 운영 및 사용자 지원,2026.3.23,클라우드 보안 엔지니어,미드 레벨,4~7년 차,0,0,690,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 송파구 잠실,오전 9시 ~ 오후 6시
2026.3.9,증권사 MTS 응대 및 원격 지원,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 마포구 공덕역 재화스퀘어,오전 9시 ~ 오후 6시
2026.3.9,증권사 MTS 화면 개발,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 마포구 공덕역 또는 마포역,오전 8시 ~ 오후 5시 30분
2026.3.9,증권사 MTS 화면 개발,2026.3.23,프론트엔드 개발자,미드 레벨,4~7년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 마포구 공덕역 재화스퀘어,오전 9시 ~ 오후 6시
2026.3.9,증권사 웹 설계 및 풀스택 개발,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 마포구 공덕역 재화스퀘어,오전 8시 ~ 오후 5시 30분
2026.3.9,증권사 홈페이지 운영 및 개발,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 마포구 공덕역 재화스퀘어,오전 8시 ~ 오후 5시 30분
2026.3.9,외환업무 시스템 분석 및 설계,2026.3.23,PL (프로젝트 리더),시니어,8~10년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 마포구 상암동,오전 9시 ~ 오후 6시
2026.3.9,AWS기반 아키텍처 설계 FinOps/Billing Architect,2026.3.23,클라우드 아키텍트,시니어,6~15년 차,60000000,7500000,240,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 성동구 연무장 5길 9-16,오전 9시 ~ 오후 6시
2026.3.9,구매·정산·지급 시스템 개발,2026.3.23,데이터 엔지니어,시니어,8~10년 차,0,0,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강서구 발산역,오전 9시 ~ 오후 6시
2026.3.9,통신사(K) AI Chat 앱 웹디자인,2026.3.23,UI/UX 디자이너,미드 레벨,4~7년 차,13500000,4500000,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.9,마트앱 AI 관련 클라우드 이관,2026.3.23,AI/ML/Data 엔지니어,미드 레벨,4~7년 차,0,0,30,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,판매•유통업,서울특별시 송파구 잠실역 인근,오전 9시 ~ 오후 6시
2026.3.9,통신사 비바체 시스템 SM,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경기도 성남시 분당구 분당 정자,오전 9시 ~ 오후 6시
2026.3.9,AI 기반 도면 검색 시스템 기획(PM),2026.3.23,PM (프로덕트 매니저),시니어,8~10년 차,36000000,9000000,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,건설업,서울특별시 강남구 역삼역,오전 9시 ~ 오후 6시
2026.3.9,통신사 HR시스템 유지보수/운영,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 강남구청역,오전 9시 ~ 오후 6시
2026.3.9,화재보험사 SCP 이관 프로젝트 TA,2026.3.23,TA (테크니컬 아키텍트),미드 레벨,4~10년 차,0,0,270,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 영등포구 당산,오전 9시 ~ 오후 6시
2026.3.9,증권거래소 관련 시스템 QA(테스트),2026.3.23,QA 엔지니어,미드 레벨,4~7년 차,0,0,60,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 영등포구 여의도역,오전 9시 ~ 오후 6시
2026.3.9,이커머스 디지털존 운영 개발,2026.3.23,프론트엔드 개발자,"주니어,미드 레벨","1~3년 차,4~7년 차",0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 선릉역 인근,오전 9시 ~ 오후 6시
2026.3.9,정보시스템 유지보수(엠로F/W 사용),2026.3.23,풀스택 개발자,시니어,8~15년 차,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,서울특별시 영등포구 당산역 인근,오전 9시 ~ 오후 6시
2026.3.9,바이오 기업 매뉴얼 문서 작성 및 디자인,2026.3.23,편집 디자이너,미드 레벨,경력 무관,0,0,150,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,의료•제약업,서울특별시 송파구 잠실역 인근,오전 9시 ~ 오후 6시
2026.3.9,투자증권 프로젝트 PM(현장관리자),2026.3.23,PM (프로젝트 매니저),시니어,8~10년 차,0,0,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 영등포구 여의도역,오전 9시 ~ 오후 6시
2026.3.9,은행 공통 기능 개발 및 시스템 모니터링/유지보수 기능 개발,2026.3.23,풀스택 개발자,시니어,8~20년 차,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 강서구 강서구청사거리,오전 9시 ~ 오후 6시
2026.3.9,은행 CBDC 업무 개발,2026.3.23,풀스택 개발자,시니어,8~10년 차,85200000.00000000000000000001,7100000,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,금융•은행업,서울특별시 종로구 을지로 세종대로 근처,오전 9시 ~ 오후 6시
2026.3.9,데이터 전처리 담당 DE 개발,2026.3.23,데이터 엔지니어,미드 레벨,경력 무관,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,서울특별시 강서구 마곡나루,오전 9시 ~ 오후 6시
2026.3.9,DEP 개발(Java/SpringBoot/React),2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,0,0,60,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 강서구 마곡,오전 9시 ~ 오후 6시
2026.3.9,마젠토 솔루션 개발,2026.3.23,풀스택 개발자,미드 레벨,4~10년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,서울특별시 강서구 증미역,오전 9시 ~ 오후 6시
2026.3.9,클라우드 DE 개발,2026.3.23,데이터 엔지니어,시니어,8~10년 차,0,0,300,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,서울특별시 강남구 포스코사거리,오전 9시 ~ 오후 6시
2026.3.9,배터리 대기업 물류 시스템 개발,2026.3.23,풀스택 개발자,시니어,8~10년 차,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,충청북도 청주시 청원구,오전 9시 ~ 오후 6시
2026.3.9,바이오 기업 웹 서비스 QA,2026.3.23,QA 엔지니어,미드 레벨,4~7년 차,0,0,180,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,의료•제약업,서울특별시 송파구 잠실역 인근,오전 9시 ~ 오후 6시
2026.3.9,DAP 테크서포트 운영,2026.3.23,백엔드 개발자,주니어,1~3년 차,54000000,4500000,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,서울특별시 강서구 마곡,오전 9시 ~ 오후 6시
2026.3.9,항공사 AI 데이터 파이프라인 구축,2026.3.23,데이터 엔지니어,시니어,8~10년 차,0,0,90,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 강서구 개화산역,오전 9시 ~ 오후 6시
2026.3.9,데이터브릭스(DE) 개발,2026.3.23,데이터 엔지니어,미드 레벨,경력 무관,0,0,360,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,경기도 성남시 분당구 정자동,오전 9시 ~ 오후 6시
2026.3.9,통합 결제 플랫폼 개발,2026.3.23,풀스택 개발자,"미드 레벨,시니어","4~7년 차,8~10년 차",0,0,240,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,경기도 수원시 영통구 망포역 인근,오전 9시 ~ 오후 6시
2026.3.9,그룹사 시스템 프런트엔드 개발,2026.3.23,프론트엔드 개발자,시니어,8~10년 차,0,0,300,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 강서구 증미역 또는 마곡나루역,오전 9시 ~ 오후 6시
2026.3.9,항공사 통합 시스템 개발,2026.3.23,풀스택 개발자,시니어,8~10년 차,0,0,150,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,서비스업,서울특별시 강서구 개화산역 인근,오전 9시 ~ 오후 6시
2026.3.9,타이어 기업 ERP 연계 프로젝트,2026.3.23,풀스택 개발자,시니어,8~10년 차,74000000.00000000000000000001,7400000,300,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,제조•생산•화학업,경기도 성남시 분당구 판교역 도보 10분,오전 8시 ~ 오후 12시
2026.3.9,Flutter/Node.js 기반 커뮤니티 서비스 구축 풀스택 개발,2026.3.23,풀스택 개발자,미드 레벨,4~7년 차,15000000.00000000000000000000,5000000,90,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경상남도 창원시 의창구 팔용동,오전 10시 ~ 오후 7시
2026.3.9,React Native/Node 기반 플랫폼 풀스택 개발,2026.3.20,풀스택 개발자,미드 레벨,6~7년 차,72000000,6000000,360,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경상남도 창원시 의창구 용동로45,주 40시간 탄력근무(자율 출퇴근)
2026.3.6,Vue3/Nuxt 기반 스포츠클럽 정보시스템 프론트엔드 개발,2026.3.13,프론트엔드 개발자,주니어,1~3년 차,7000000.000000000000000000002,3500000,60,사내 프로젝트에 필요한 인력을 구인합니다.,기존 팀에 작업자를 추가 증원하려 합니다.,IT•정보통신업,서울특별시 송파구 미팅 시 공유,오전 9시 ~ 오후 6시
2026.3.6,빅데이터 플랫폼 QA/SQA 품질 관리 엔지니어,2026.4.3,QA 엔지니어,미드 레벨,5~20년 차,24000000,6000000,120,발주처에게서 수주한 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,IT•정보통신업,경기도 성남시 분당구 두산타워,오전 8시 30분 ~ 오후 5시 30분
2026.3.9,"학원ERP 기능 고도화 개발(주 20시간, 재택 근무)",2026.3.23,풀스택 개발자,테크 리드,11년 차 이상,2500000.000000000000000000000,2500000,30,사내 프로젝트에 필요한 인력을 구인합니다.,신규 프로젝트에 필요한 작업자를 구인하고 있습니다.,교육업,,주 20시간 탄력근무(자율 출퇴근)
